username,price,avg_likes,avg_comments,followers
Zhestakkasi,187000,5107.6,96.8,331443
music.salatin,66000,871.1,12.1,287114
bebin.yadbegir,165000,2319.0,47.5,308866
Film_clip_ax,198000,5213.2,236.7,293620
ChaleshX,275000,3698.6,28.6,286341
miss_go0lsa,49500,463.8,26.3,286709
honarmandanmahbob1,165000,1966.1,99.8,296684
lezate_ashpazi_irani,132000,943.4,30.1,263718
_andishe_mosbat_,957000,2367.2,40.2,330728
Thstreetlife,198000,9243.4,93.1,291875
shattooot,143000,1296.7,17.7,268672
iran_car_lover,275000,8075.9,287.7,284537
black_text,121000,2634.3,40.5,280297
Bekhanism,88000,1815.0,26.4,289008
siasathaye_zanane,176000,3496.2,79.7,283111
Reflection_of_luve,209000,8272.1,162.9,359904
Soorikhand,132000,4499.4,99.2,326822
vaghte_yadgiri,165000,2807.2,67.3,412665
Aroose_malih,48400,1103.4,22.6,282746
Majale_roz,33000,9.7,0.8,300526
MHRBAHMDI,7700000,137923.6,22807.2,1177825
ir.aroos.center,132000,434.0,6.1,274691
music.video.pershia,121000,1630.5,21.6,284010
trocaj,55000,2097.0,20.7,272119
Ashpazi_ba_bartarinha,242000,14662.7,199.7,280681
Shahla968,110000,4927.9,50.6,276877
kamiyondaran,324500,4690.7,141.2,278373
matbakhe_khatoon,143000,1195.4,25.9,272413
architectural_design,64900,319.0,2.5,50804
206a,143000,5340.0,146.5,283070
zarintv,86900,16755.8,151.2,335484
maral.food,198000,3765.0,235.9,268698
rezagolshani_lifestyle,2200000,3047.8,330.5,277893
Doctor.neda,176000,2346.6,36.5,270724
Videocliporg,550000,914.4,18.8,275347
Mum_baby_food,220000,1875.7,68.4,279340
Hashemirafsnjani.ir,440000,1747.8,44.2,263973
textaban,935000,5575.1,21.1,277705
Zane_shikposh,44000,905.0,27.0,270991
khoshmazeha_,110000,449.0,20.7,253298
cilip_rooz,209000,2767.7,95.4,274645
vigiatonet,1870000,4953.3,204.4,296033
tanz.manz,220000,2480.2,44.7,257372
dokhii_art,88000,809.7,35.1,263773
naserbabakhanlooo,330000,8604.2,400.1,357100
ghahvetalkh.fanpage,176000,5152.9,35.7,240115
iranplantoriginal,220000,3713.3,33.4,262477
Kandushaqi,220000,10450.1,162.2,350768
behmusiiic,220000,3338.9,70.0,282426
khaneyeh_eshgh,82500,682.3,94.9,261483
Science_technology_world,550000,13915.5,303.7,269977
Tania_food,550000,4628.7,698.0,250574
clip_shad__,143000,1530.9,38.0,257301
Mosbato_bahal,187000,1718.4,13.4,260206
elhamhamidiiiiii,33000,1220.9,33.6,265016
makeupvideos_zibaii,99000,888.0,12.3,281271
music.sabz,88000,1425.5,9.9,258874
deltangi.dokhtarone,275000,7962.6,361.2,262442
